ticker
TRKA
BTOG
GRPC
GRPX
LIQT
NVFY
SEAC
BRDS
LADX
GREE
SDIG
EAST
ALPP
XBIO
IFBD
GLMD
BNMV
LPCN
RETO
VERO
BBIG
HEPA
TNXP
MULN
WGS
EZFL
JXJT
YCBD
CLXT
BKTI
LGMK
SMFL
POAI
INTV
OIG
OUST
VERB
ASNS
AVMR
AFTC
ARVL
WISH
ACOR
BLBX
WTER
TYDE
CHNR
HLBZ
CREX
ALLR
CUEN
IDAI
LIXT
CBUS

PTIX
LKCO
BAOS
VIA
KRBP
BMXC
KLR
RGBP
HCDI
IONM
RKDA
DFEL
TPCS
WINT
RELI
AMST
GMBL
PKPH
ATNX
GNUS
COMS
INBS
SNGX
HWKE
NAOV
MIGI
DGLY
DYNT
BRSF
REVB
FTFT
WPFH
WISA
SWVL
EDBL
CETX
REED
OGEN
APM
CNET
CETY
ARTH
ATLX
BSPK
GHSI
NXTP
ALBT
TENX
OBLG
HALL
NUZE
RSLS
THMO
CEI
ATNF
MDWD
SINT
BTB
PHCF
PSFE
BBLG
VTGN
LIXT
ECGR
ACOR
TRKA
CLXT

BTOG
GRPX
LIQT
ITRG
NVFY
SEAC
BRDS
LADX
GREE
SDIG
ALPP
GLMD
XBIO
MULG
IFBD
BNMV
LPCN
VERO
RETO
BBIG
HEPA
TNXP
MULN
WGS
EZFL
JXJT
YCBD
BKTI
LGMK
POAI
SMFL
OIG
OUST
ASNS
VERB
AVMR
ARVL
WISH
BLBX
WTER
TYDE
CHNR
HLBZ
EGOC
CREX
ALLR
CUEN
FRGT
COIN
IDAI
BBRW
PTIX
BAOS
LKCO
VIA
ATAO
KRBP
KLR
SFT
HCDI
CPHI
IONM
RKDA
DFEL
TPCS
WINT
RELI
GMBL
AMST
FCUV
PKPH
ATNX
GNUS
INBSS
COMS
SNGX
NAOV
MIGI
DGLY
BRSF
DYNT
REVB
FTFT
WISA
REED
EDBL
VBHI
CETX
APM
OGEN
WPFH
CNET
ARTH
GHSI
NXTP
ALBT
TENX
OBLG
HALL
NUZE
RSLS
THMO
CEI
MDWD
SINT
ATNF
COSM
BTB
PHCF
PSFE
BIMI
ANTE
GROM
NDRA
MYSZ
UPH
LCFY
PTPI
FUV
CNSP
CHEK
SPCB
TIRX
SNES
NBY
KTRA
VS
CCNC
ONCS
KERN
VINO
BKGM
ENSC
HBIS
HOTH
KALA
IMCI
AGFY
NMTR
AIRI
LIXT
CLXT
TRKA
BTOG
LIQT
GRPX
NVFY
SEAC
LADX
SDIG
GREE
ALPP
GLMD
XBIO
EAST
RETO
VERO
LPCN
BBIG
HEPA
WGS
YCBD
LGMK
SMFL
POAI
BKTI
INTV
OIG
OUST
ASNS
VERB
AVMR
ARVL
WISH
VBIV
BLBX
TYDE
CHNR
HLBZ
ALLR
CUEN
IDAI
VIA
BAOS
LKCO
BMXC
KRBP
IONM
HCDI
RKDA
TPCS
WINT
RELI
GMBL
AMST
ATNX
PKPH
GNUS
COMS
SNGX
INBS
MIGI
NAOV
DGLY
BRSF
REVB
WISA
EDBL
CETX
APM
OGEN
WPFH
CNET
CETY
ARTH
GHSI
NXTP
ALBT
NUZE
RSLS
ATLX
THMO
CEI
SINT
MDWD
ATNF
COSM
BTB
PHCF
PSFE
MITI
BIMI
ANTE
GROM
NDRA
MYSZ
UPH
LRDR
LCFY
PTPI
FUV
CNSP
CHEK
TIRX
SNES
KTRA
ONCS
CCNC
ENSC
HBIS
HOTH
KALA
IMCI
NMTR
AGFY
COCP
HAPP
INPX
CSCW
LPTV
ADTX
INM
HEME
NNUP
PIXY
SNTG
QSMG
QEGY
ENVB
MTC
ESPI
EVTV
STAF
SLBG
JRVS
HCYT
SMDM
CNBX
TXMD
NLAB
SOBR
PGUZ
FLES
TWOH
NVIV
UK
RTSL
GWSN
AVGR
QSAM
ATDS
NNMX
PULM
MXMG
VIVK
MVEN
CEAD
SBFM
CYRN
AREB
ASTI
ZYRX
NAKD
DPSI
NJMC
MODD
BMIN
SURG
VRTY
CLOW
BRTX
NXTD
USWS
MCHN
GBCS
MLWN
WMHI
ARHH
ACST
ATIF
MRJT
IGAP
CWNR
SWI
MTSL
NTEC
GHRI
KAVL
SSOK
BLPG
MMEX
IDTY
DPSM
UOLI
DTRC
ECMT
ONTX
SMPR
GRMM
FXBY
EOSS
BRNW
NSPR
AKER
NMTC
GCEH
SAML
GCGX
CONC
FTGI/FTGID
TGC/REPX
TSNP
SAFO
HPTY
GRCV
SING
VKIN
ASDN
TTCS
MBRX
NOVO
FLCX
AMRH
ACOR
WPG
AYTU
GDC
ENSC
ADD
